Отчёт о наладке оборудования;;;;;;;;
;;;;;;;;
№;;1;;;;;;
Дата;;26.09.2026 20:57:39;;;;;;
Организация;;ООО Интеллектуальные машины;;;;;;
;;;;;;;;
Описание объекта;;;;;;;;
Механизм;;;;;;;;
Место установки;;;;;;;;
Тип устройства;;00000056 DExS.SMFCB v1.10.6.1 18.07.2022 www.intmash.ru;;;;;;
Серийный номер;;00000056;;;;;;
Версия ПО;;1.10.6.1;;;;;;
Файл базы;;;;;;;;
Дата изменения базы;;;;;;;;
;;;;;;;;
Уставки параметров;;;;;;;;
№;Параметр;Регистр;Коэфф;Комментарий;HEX;Physical;Ед.Изм.;
p00020;DExS_PWR_OK;r0000.0;1;Качество сети выпрямителя и исправность DExS.PWR;x0000;0;.;
p00021;DExS_PWR_LNK;r0000.1;1;Наличие связи с платой DExS.PWR;x0000;0;.;
p00022;SyncRect;r0000.2;1;Наличие синхроимпульсов выпрямителя;x0000;0;.;
p00023;PWR;r0000.3;1;Выпрямитель включен;x0000;0;.;
p00024;Chop;r0000.4;1;Инвертирование;x0000;0;.;
p00025;ExtRegTimeOut;r0000.5;1;Приостановка автоматического регулятор;x0000;0;.;
p00026;R_INSL_LOW;r0000.6;1;Предупредительный порог изоляции;x0000;0;.;
p00027;T1000;r0000.7;1;;x0000;0;.;
p00030;MMS_Error;r0000.8;1;Положение выключателя не соответствует действительности;x0000;0;.;
p00031;IExcRef_min;r0000.9;1;Задание тока возбуждения ограничено уставкой минимального задания;x0000;0;.;
p00032;IExcRef_max;r0000.A;1;Задание тока возбуждения ограничено уставкой максимального задания;x0000;0;.;
p00033;imp_block;r0000.B;1;блокировка импульсов для закрытия тиристорного ключа;x0000;0;.;
p00034;cfi_enable;r0000.C;1;Есть сигналы от датчика фазы тока статора;x0000;0;.;
p00035;cfu_enable;r0000.D;1;Есть сигналы от датчика фазы напряжения статора;x0000;0;.;
p00036;RR;r0000.E;1;Проворот ротора;x0000;0;.;
p00037;Test;r0000.F;1;Опробование;x0000;0;.;
p00120;UstLow;r0001.0;1;Просадка напряжения сети;x0000;0;.;
p00121;UstFail;r0001.1;1;Отсутствие напряжения сети;x0001;1;.;
p00122;i2tR;r0001.2;1;Перегрев ротора;x0000;0;.;
p00123;Up;r0001.3;1;;x0000;0;.;
p00124;Dn;r0001.4;1;Cмена режима со снижением тока;x0000;0;.;
p00125;SlideFreqRealay;r0001.5;1;Наличие наведённого напряжения;x0000;0;.;
p00126;FS+;r0001.6;1;Скольжение. Положительный полупериод;x0000;0;.;
p00127;FS-;r0001.7;1;Скольжение. Отрицательный полупериод;x0000;0;.;
p00130;QminLimIrUp;r0001.8;1;Достигнута минимальная реактивная мощность, требуется повысить ток возбуждения;x0001;1;.;
p00131;QmaxLimIrDn;r0001.9;1;Достигнута максимальная реактивная мощность, требуется снизить ток возбуждения;x0000;0;.;
p00132;Force;r0001.A;1;Форсировка;x0000;0;.;
p00133;ForceByUst;r0001.B;1;Форсировка по просадке напряжения статора;x0000;0;.;
p00134;ForceByStart;r0001.C;1;Форсировка при подаче возбуждения;x0000;0;.;
p00135;HS_freq_passed;r0001.D;1;Достигнута частота тяжёлого пуска;x0000;0;.;
p00136;H_mode;r0001.E;1;Включен режим наладки;x0000;0;.;
p00137;FLASH_WRITED;r0001.F;1;Изменение уставок;x0000;0;.;
p00220;FeedBckErr;r0002.0;1;Обрыв ОС по току;x0000;0;.;
p00221;SlideCirctErr;r0002.1;1;Неисправность цепи скольжения (выясняется в режиме опробывания);x0000;0;.;
p00222;DualPower;r0002.2;1;Переключение на резервный выпрямитель;x0000;0;.;
p00223;StartProcEnable;r0002.3;1;Двигатель включен;x0001;1;.;
p00224;IstStartTrig;r0002.4;1;Старт по току статора;x0001;1;.;
p00225;HS_CHARGE;r0002.5;1;;x0000;0;.;
p00226;NxtStrtDisable;r0002.6;1;Блокировка повторного пуска;x0000;0;.;
p00227;MSS_Start;r0002.7;1;Зафиксирован старт по выключателю;x0000;0;.;
p00230;WinDry;r0002.8;1;Сушка обмоток;x0000;0;.;
p00232;FS_OK;r0002.A;1;Состояние файловой системы;x0000;0;.;
p00233;IttAsymWrn;r0002.B;1;Предупреждение. Асимметрия токов выпрямителя;x0000;0;.;
p00234;CROWBAR;r0002.C;1;Включение гасящего сопротивления;x0000;0;.;
p00235;LOG_STAT;r0002.D;1;Состояние логирования;x0000;0;.;
p00236;LOG_UNMOUNT;r0002.e;1;Состояние логирования;x0000;0;.;
p00237;LOG_ERROR;r0002.F;1;Состояние логирования;x0000;0;.;
p00320;FAULT;r0003.0;1;Авария(общий сигнал);x0000;0;.;
p00321;GlobalError;r0003.1;1;Авария вычисленная внешним устройством;x0000;0;.;
p00322;FSAsyncRun;r0003.2;1;Асинхронный ход по датчику наведённого напряжения;x0000;0;.;
p00323;QminAsyncRun;r0003.3;1;Асинхронный ход по минимальной реактивной мощности;x0000;0;.;
p00324;LongStart;r0003.4;1;Превышение времени пуска;x0000;0;.;
p00325;FieldFail;r0003.5;1;Обрыв поля;x0000;0;.;
p00326;IExcMaxFlt;r0003.6;1;Превышение тока нагрузки;x0000;0;.;
p00327;IttMaxFlt;r0003.7;1;Превышение входного тока выпрямителя;x0000;0;.;
p00330;IstOV;r0003.8;1;Перегруз по току статора;x0000;0;.;
p00331;MPSFlt;r0003.9;1;Отключение силового выключателя во время работы;x0001;1;.;
p00332;MSSFlt;r0003.A;1;Отключение при обнаружении неисправности Выключателя двигателя;x0000;0;.;
p00333;FreqMinFlt;r0003.B;1;Минимальная частота напряжения статора;x0000;0;.;
p00334;ThyCtrlFault;r0003.C;1;Неисправность канала управления тиристорами;x0000;0;.;
p00335;R_INSL_FLT;r0003.D;1;Аварийный порог изоляции;x0000;0;.;
p00336;GMP;r0003.E;1;Генераторный режим;x0000;0;.;
p00337;IttAsymFlt;r0003.F;1;асимметрия токов выпрямителя;x0000;0;.;
p00420;DI_0;r0004.0;1;;x0000;0;.;
p00421;DI_1;r0004.1;1;;x0000;0;.;
p00422;DI_2;r0004.2;1;;x0000;0;.;
p00423;iWindDry;r0004.3;1;"Вход ""Прогрев обмоток""";x0000;0;.;
p00424;iOVH;r0004.4;1;"""Перегрев""-элемента шкафа с термореле (NC)";x0000;0;.;
p00425;iMPSState;r0004.5;1;Вход сост. силового выключателя;x0000;0;.;
p00426;iSPPExFrce;r0004.6;1;"Вход ""ФОРСИРОВКА от УПП|ПЧ""";x0000;0;.;
p00427;iSPPExEnbl;r0004.7;1;"Вход ""ВОЗБУЖДЕНИЕ от УПП|ПЧ""";x0000;0;.;
p00430;iRMSState;r0004.8;1;Контакт cостояния реакторного выключателя двигателя;x0000;0;.;
p00431;iMMSState;r0004.9;1;Контакт cостояния прямого выключателя двигателя;x0000;0;.;
p00432;iAuto;r0004.A;1;"Переключатель ""Ручной|Автоматический""";x0000;0;.;
p00433;iIRm-;r0004.B;1;Задание -;x0000;0;.;
p00434;iIRp+;r0004.C;1;Задание +;x0000;0;.;
p00435;iReset;r0004.D;1;"""Сброс защит"" кнопка";x0000;0;.;
p00436;iTest;r0004.E;1;"""Опробование"" кнопка";x0000;0;.;
p00437;iReady;r0004.F;1;"Kлюч готовности к пуску работа ""Запрещена|разрешена""";x0000;0;.;
p00530;oFAN_K8;r0005.8;1;Вентилятор;x0000;0;.;
p00531;oSPP_K7;r0005.9;1;Индикатор тока для УПП;x0000;0;.;
p00532;oUSER_K6;r0005.A;1;Реле пользователя;x0000;0;.;
p00533;oMSS_K5;r0005.B;1;Включение прямого выключателя при реакторном пуске;x0000;0;.;
p00534;oFAULT_K4;r0005.C;1;Авария;x0000;0;.;
p00535;oWARNING_K3;r0005.D;1;Предупреждение;x0001;1;.;
p00536;oREADY_K2;r0005.E;1;Готовность;x0000;0;.;
p00537;oCROWBAR_K1;r0005.F;1;Шунтировка тиристорного ключа;x0000;0;.;
p00600;Ustat;r0006;1;Напряжение статора;x03FC;1020;B;
p00700;Istat;r0007;1;Ток статора;x0742;1858;A;
p00800;Istat_max;r0008;1;"Ток статора ""грубо""";x07C8;1992;A;
p00900;Ur;r0009;1;Напряжение ротора;x0000;0;B;
p01000;Ir;r000A;1;Ток ротора;x0000;0;A;
p01100;IttA;r000B;1;Ток выпрямителя ТТА;x0000;0;A;
p01200;IttB;r000C;1;Ток выпрямителя ТТВ;x0000;0;A;
p01300;IttC;r000D;1;Ток выпрямителя ТТС;x0000;0;A;
p01400;F;r000E;1;угол Фи (cos);xFFE2;-30,00112533569336;grad;
p01600;Freq;r0010;0,01;Частота напряжения двигателя;x05F5;15,25;Hz;
p01700;IzBias;r0011;0,001;Приращение тока возбуждения в авто-регуляторах;x0000;0;A;
p01800;EExcReg;r0012;1;Накопитель регулятора тока возбуждениЯ;x0000;0;A;
p02000;IExcRef;r0014;1;Задание тока возбуждения;x00BE;190;A;
p02200;IExcRefAuto;r0016;1;Заданный тока возбуждения в автоматическом режиме;x00BE;190;A;
p02400;IExcRefReg;r0018;1;Заданный тока возбуждения (после всех ограничителей);x00BE;190;A;
p02600;FRef;r001A;1;Заданый угол Фи (cos);x0000;0;grad;
p02800;RegCmd;r001C;1;командный регистр;x0000;0;-;
p02900;_free_;r001D;1;;x0000;0;-;
p03000;A;r001E;1;Угол управления тиристорами;x008C;140;grad;
p03200;SlideFreg;r0020;0,01;Частота скольжения;x1387;49,99;Hz;
p03300;RINSL;r0021;0,1;Сопротивление изоляции;x0000;0;kOm;
p03400;FreqRect;r0022;0,01;Частота напряжения питающей сети выпрямителя;x0000;0;Hz;
p03500;Vab;r0023;1;Линейное напряжение синхронизации выпрямителя AB;x0000;0;V;
p03600;Vbc;r0024;1;Линейное напряжение синхронизации выпрямителя BC;x0000;0;V;
p03700;Vca;r0025;1;Линейное напряжение синхронизации выпрямителя CA;x0000;0;V;
p03800;Ssg;r0026;0,001;Полная мощность двигателя;x0000;0;kBA;
p04000;Psg;r0028;0,001;Активная мощность двигателя;x0000;0;kW;
p04200;Qsg;r002A;0,001;Реактивная мощность двигателя;x0000;0;kBAr;
p04500;DEX_STATE(TEST);r002D;1;Состояние возбудителя;x019F;415;--;
